current_name,current_status,current_risk,target_name,target_bundle,migration_wave,decision,compatibility_requirement,notes
GDVG Cockpit — Contrôles & Réservations.gs,installed_menu_host,HIGH,HPIA_CORE_MENU_CONTROLES_RESERVATIONS_vXX.gs,CORE_MENU,V69,audit_before_any_change,keep_onOpen_single_and_keep_public_menu_functions,Only real onOpen found; must be handled first before any menu change.
HPIA_BACKUP_V57_ONE_FILE.gs,installed_backup_module,MEDIUM,HPIA_BACKUP_LIVE_DRIVE_DCG_v57.gs,BACKUP_DRIVE_CLASP_GITHUB,V1,rename_later_keep_single_installed_backup,keep_HPIA_V57_aliases_until_next_live_backup,Single backup module is valid; no more backup variants installed.
70_GDVG_GOUVERNANCE_ONGLETS_UI.gs,installed_ui_write_controlled,HIGH,HPIA_UI_GOVERNANCE_TABS_v70.gs,UI_GOVERNANCE,V3,keep_separate_rename_after_dependency_audit,keep_GDVG_applyGouvernance_aliases,UI surface justifies dedicated module.
80_GDVG_ACTIONS_PLANNING_UI.gs,installed_ui_write_controlled,HIGH,HPIA_UI_ACTIONS_PLANNING_v80.gs,UI_ACTIONS_PLANNING,V3,keep_separate_rename_after_dependency_audit,keep_GDVG_AP_UI_aliases,UI surface justifies dedicated module.
81_GDVG_PLANNING_VISUEL_IMPORT_STAGING_SAFE.gs,installed_staging_write_controlled,HIGH,HPIA_IMPORT_PLANNING_VISUEL_STAGING_v81.gs,IMPORT_PLANNING_VISUEL,V5,keep_separate_until_import_flow_audit,keep_GDVG_PV_aliases,Staging writes only but still controlled write.
90_GDVG_V42_AUDIT_NO_WRITE.gs,published_readonly,LOW,HPIA_AUDIT_DASHBOARD_READONLY_v90.gs,AUDIT_DASHBOARD,V4,rename_later_or_archive_after_replacement,keep_GDVG_v42_alias_until_archived,Already published read-only; candidate for archive once superseded.
91_GDVG_V42R1_DASHBOARD_PATCH_SAFE.gs,installed_sealed_verify_readonly_after_apply,MEDIUM,HPIA_PATCH_DASHBOARD_CONTROLLED_v91.gs,DASHBOARD_PATCH,V5,archive_apply_surface_keep_verify_only,keep_verify_aliases_only,Original apply surface removed in clean sealed version; keep verification if useful.
92_GDVG_V43_AVIS_REPUTATION_NO_BREAK_AUDIT.gs,installed_readonly,LOW,HPIA_REVIEWS_REPUTATION_AUDIT_v92.gs,REVIEWS_REPUTATION,V4,rename_later_readonly,keep_GDVG_v43_aliases,Read-only; publication channel rejected raw payload earlier.
94_GDVG_V43R2_AVIS_GITESFR_AND_SCRAPING_FINAL_COMPLETE.gs,installed_write_controlled,HIGH,HPIA_REVIEWS_SOURCE_SEED_CONTROLLED_v94.gs,REVIEWS_REPUTATION,V5,freeze_until_write_audit,keep_preview_verify_aliases_apply_hidden,Contains apply/upsert surface.
95_GDVG_V43R3_AVIS_LAYOUT_MEF_MEP_MAINTENANCE_FINAL_COMPLETE.gs,installed_write_controlled,HIGH,HPIA_REVIEWS_LAYOUT_MAINTENANCE_v95.gs,REVIEWS_REPUTATION,V5,freeze_until_write_audit,keep_preview_verify_aliases_apply_hidden,Contains layout write/apply surface.
96_GDVG_V44A_TAXE_SEJOUR_DEEP_AUDIT_NO_WRITE.gs,installed_readonly,LOW,HPIA_TAXE_SEJOUR_AUDIT_v96.gs,TAXE_SEJOUR,V4,rename_later_readonly,keep_GDVG_v44a_aliases,Read-only; publication channel rejected raw payload earlier.
97_GDVG_V44A2_SOURCE_PIECES_AND_IMPORT_MODELS_AUDIT_NO_WRITE.gs,raw_private_readonly_drive_metadata,MEDIUM,HPIA_IMPORT_BOOKING_SOURCE_AUDIT_v66.gs,IMPORT_BOOKING_SOURCE_AUDIT,V4/V5,use_public_safe_property_based_variant,keep_GDVG_v44a2_aliases,Raw has Drive IDs; public-safe/install-ready variant must use properties.
100_HEBERPILOT_V45B_R2_RESUME_ADMIN_PRODUCT_TABS_SAFE.gs,installed_write_controlled,HIGH,HPIA_ADMIN_PRODUCT_TABS_SETUP_v100.gs,ADMIN_PRODUCT_SETUP,V5,freeze_until_write_audit,keep_HEBERPILOT_v45bR2_aliases,Write-enabled setup; high risk.
97_GDVG_V44A2_SOURCE_PIECES_AND_IMPORT_MODELS_AUDIT_NO_WRITE_INSTALL_READY.gs,not_installed_ready_pack,LOW_MEDIUM,HPIA_IMPORT_BOOKING_SOURCE_AUDIT_v66.gs,IMPORT_BOOKING_SOURCE_AUDIT,V4/V5,HOLD_UNTIL_IMPORT_BOOKING_SOURCE_MODULE_DECISION,n/a,V66 ready but not installed as isolated sprawl.
